MALL_NAME,X,Y
Sunshine Place,17505.238187743,39986.6034532767
Teck Whye Shopping Centre,19004.1078333839,40224.3126699161
West Mall,18643.526947563,36903.9428237472
Yew Tee Point,18349.1561864757,42108.1802022346
Yew Tee Square,18403.3321241007,42214.6661470905
Keat Hong Shopping Centre,18103.7591441167,39927.8427333553
VivoCity,26774.676626237,27425.9214742519
HarbourFront Centre,26544.821134136,27388.8962539733
Alexandra Retail Centre,24444.9339985586,28480.5896624234
321 Clementi,20395.3064215341,32700.1500842683
The Clementi Mall,20332.5894037295,33020.1640930362
IMM,23593.4960403429,31605.2958810832
JCube,17635.4316216496,35057.8095997609
Jem,18004.5380601766,35028.8587273546
Westgate Mall,17922.485914909,35150.0649612676
Jurong Point,13907.0305282861,35735.7564695273
Pioneer Mall,12848.6614737444,35983.4657739662
The Star Vista,23003.2346113672,32143.713611383
Tiong Bahru Plaza,27298.4929601221,29875.6088268179
Alexandra Central,24894.5278183988,29985.8934036307
Anchorpoint,24916.0230507866,30149.3953310233
Big Box,18162.1979034946,34902.4658625573
OD Mall,23558.1194868692,35638.6169148274
Boon Lay Shopping Centre,14546.3490037468,36498.1928442158
Grantral Mall,20413.2100247074,32950.9688186757
Fairprice Hub,10760.2804397647,34206.1198421884
Gek Poh Shopping Centre,12973.7468221832,36763.2174027618
Rochester Mall,23014.7692556735,31960.9869135972
Taman Jurong Shopping Centre,15440.244074599,35226.1689937152
West Coast Plaza,20522.6684974388,31781.8681897391
Queensway Shopping Centre,24669.3282080884,30003.7871697098
