school_name,address,postal_code,dgp_code,zone_code,cluster_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,Y,X
ST. ANTHONY'S PRIMARY SCHOOL,30 BUKIT BATOK ST 32,659401,BUKIT BATOK,WEST,WEST 4,PRIMARY,No,No,No,No,1.352083,103.819836
MAHA BODHI SCHOOL,10 UBI AVENUE 1,408931,GEYLANG,EAST,EAST 7,PRIMARY,Yes,No,No,No,1.329011,103.901381
PEI CHUN PUBLIC SCHOOL,580 TOA PAYOH EAST,319133,TOA PAYOH,SOUTH,SOUTH 3,PRIMARY,Yes,No,No,No,1.3331869,103.85864
POI CHING SCHOOL,21 TAMPINES STREET 71,529067,TAMPINES,EAST,EAST 2,PRIMARY,Yes,No,No,No,1.3582,103.935299
KHENG CHENG SCHOOL,15 LORONG 3 TOA PAYOH,319580,TOA PAYOH,SOUTH,SOUTH 3,PRIMARY,No,No,No,No,1.337666,103.847796
NAN HUA PRIMARY SCHOOL,170 WEST COAST ROAD,127443,CLEMENTI,WEST,WEST 1,PRIMARY,Yes,No,Yes,No,1.306538,103.765132
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7 PEI WAH AVENUE,597610,BUKIT TIMAH,WEST,WEST 5,PRIMARY,Yes,No,No,No,1.338081,103.77613
AI TONG SCHOOL,100 BRIGHT HILL DRIVE,579646,BISHAN,SOUTH,SOUTH 7,PRIMARY,Yes,No,No,No,1.360415,103.832615
HONG WEN SCHOOL,30 TOWNER ROAD,327829,KALLANG,SOUTH,SOUTH 4,PRIMARY,Yes,No,No,No,1.321704,103.857647
HOLY INNOCENTS' PRIMARY SCHOOL,5 LORONG LOW KOON,536451,HOUGANG,SOUTH,SOUTH 1,PRIMARY,Yes,No,No,No,1.366573,103.893711
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),298 LORONG AH SOO,536741,HOUGANG,EAST,EAST 5,PRIMARY,No,No,No,No,1.351003,103.884813
CHONGFU SCHOOL,170 YISHUN AVENUE 6,768959,YISHUN,NORTH,NORTH 2,PRIMARY,No,No,No,No,1.438563,103.839285
CHIJ (KATONG) PRIMARY,17 MARTIA ROAD,424821,BEDOK,EAST,EAST 7,PRIMARY,No,No,No,No,1.306931,103.910846
ANGLO-CHINESE SCHOOL (PRIMARY),50 BARKER ROAD,309918,NOVENA,SOUTH,SOUTH 3,PRIMARY,No,No,Yes,No,1.318735,103.835345
ANGLO-CHINESE SCHOOL (INDEPENDENT),121 DOVER ROAD,139650,QUEENSTOWN,SOUTH,SOUTH 2,MIXED LEVEL,No,No,Yes,Yes,1.302189,103.780078
ASSUMPTION ENGLISH SCHOOL,622 UPPER BUKIT TIMAH ROAD,678117,BUKIT PANJANG,WEST,WEST 6,SECONDARY,No,No,No,No,1.369148,103.767475
CHIJ SECONDARY (TOA PAYOH),626 LORONG 1 TOA PAYOH,319764,TOA PAYOH,SOUTH,SOUTH 3,SECONDARY,No,Yes,No,No,1.332007,103.842993
GEYLANG METHODIST SCHOOL (SECONDARY),2 GEYLANG EAST CENTRAL,389705,GEYLANG,EAST,EAST 5,SECONDARY,No,No,No,No,1.318124,103.8829
CHIJ KATONG CONVENT,346 MARINE TERRACE,449150,MARINE PARADE,EAST,EAST 7,SECONDARY,No,Yes,No,No,1.306597,103.917751
MONTFORT SECONDARY SCHOOL,50 HOUGANG AVENUE 8,538785,HOUGANG,NORTH,NORTH 4,SECONDARY,No,No,No,No,1.373518,103.888992
SINGAPORE CHINESE GIRLS' SCHOOL,190 DUNEARN ROAD,309437,NOVENA,NORTH,NORTH 2,SECONDARY,No,No,No,Yes,1.321253,103.828017
ST. ANDREW'S SECONDARY SCHOOL,15 FRANCIS THOMAS DRIVE,359342,TOA PAYOH,SOUTH,SOUTH 5,SECONDARY,No,No,No,No,1.331368,103.865853
ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL,1600 BEDOK NORTH AVENUE 4,469700,BEDOK,EAST,EAST 4,SECONDARY,No,Yes,No,No,1.334613,103.942216
ST. GABRIEL'S SECONDARY SCHOOL,24 SERANGOON AVENUE 1,556140,SERANGOON,SOUTH,SOUTH 6,SECONDARY,No,No,No,No,1.346401,103.875825
CHIJ ST. JOSEPH'S CONVENT,62 SENGKANG EAST WAY,548595,SENG KANG,NORTH,NORTH 1,SECONDARY,No,No,No,No,1.391747,103.902461
ST. JOSEPH'S INSTITUTION,38 MALCOLM ROAD,308274,NOVENA,SOUTH,SOUTH 5,MIXED LEVEL,No,No,No,Yes,1.322914,103.828591
ST. MARGARET'S SECONDARY SCHOOL,111 FARRER ROAD,259240,BUKIT TIMAH,SOUTH,SOUTH 3,SECONDARY,No,Yes,No,No,1.319577,103.809597
ST. PATRICK'S SCHOOL,490 EAST COAST ROAD,429058,BEDOK,EAST,EAST 7,SECONDARY,No,No,No,No,1.3092299,103.916644
CHIJ ST. THERESA'S CONVENT,160 LOWER DELTA ROAD,99138,BUKIT MERAH,SOUTH,SOUTH 4,SECONDARY,No,No,No,No,1.352083,103.819836
CHRIST CHURCH SECONDARY SCHOOL,20 WOODLANDS DRIVE 17,737924,WOODLANDS,NORTH,NORTH 7,SECONDARY,No,No,No,No,1.426395,103.793419
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),296 LOR AH SOO,536742,HOUGANG,EAST,EAST 5,SECONDARY,No,Yes,No,No,1.3507309,103.885565
YUYING SECONDARY SCHOOL,47 HOUGANG AVENUE 1,538884,HOUGANG,SOUTH,SOUTH 6,SECONDARY,No,No,No,No,1.356754,103.890092
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,10 BISHAN STREET 13,579795,BISHAN,SOUTH,SOUTH 7,SECONDARY,No,No,No,No,1.350135,103.854907
ST. HILDA'S SECONDARY SCHOOL,2 TAMPINES STREET 82,528986,TAMPINES,EAST,EAST 6,SECONDARY,No,No,No,No,1.350082,103.936638
