school_name,address,postal_code,dgp_code,zone_code,cluster_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,Y,X
CEDAR PRIMARY SCHOOL,15 CEDAR AVENUE,349700,TOA PAYOH,SOUTH,SOUTH 6,PRIMARY,No,No,No,No,1.335578,103.876669
OPERA ESTATE PRIMARY SCHOOL,48 FIDELIO STREET,458436,BEDOK,EAST,EAST 7,PRIMARY,No,No,No,No,1.319773,103.923725
RIVER VALLEY PRIMARY SCHOOL,2 RIVER VALLEY GREEN,237993,CENTRAL,SOUTH,SOUTH 4,PRIMARY,No,No,No,No,1.294206,103.836008
TELOK KURAU PRIMARY SCHOOL,50 BEDOK RESERVOIR RD,479239,BEDOK,EAST,EAST 4,PRIMARY,No,No,No,No,1.331377,103.911059
YUMIN PRIMARY SCHOOL,3 TAMPINES STREET 21,529393,TAMPINES,EAST,EAST 3,PRIMARY,No,No,No,No,1.351484,103.951159
SHUQUN PRIMARY SCHOOL,8 JURONG WEST STREET 51,649332,JURONG WEST,WEST,WEST 7,PRIMARY,No,No,No,No,1.347595,103.7215779
GAN ENG SENG PRIMARY SCHOOL,100 REDHILL CLOSE,158901,BUKIT MERAH,SOUTH,SOUTH 4,PRIMARY,No,No,No,No,1.285631,103.815421
GONGSHANG PRIMARY SCHOOL,1 TAMPINES STREET 42,529176,TAMPINES,EAST,EAST 3,PRIMARY,No,No,No,No,1.357339,103.948893
HUAMIN PRIMARY SCHOOL,530 YISHUN RING ROAD,768680,YISHUN,NORTH,NORTH 6,PRIMARY,No,No,No,No,1.427923,103.844727
XISHAN PRIMARY SCHOOL,8 YISHUN STREET 21,768611,YISHUN,NORTH,NORTH 2,PRIMARY,No,No,No,No,1.433577,103.837571
PRINCESS ELIZABETH PRIMARY SCHOOL,30 BUKIT BATOK WEST AVENUE 3,659163,BUKIT BATOK,WEST,WEST 7,PRIMARY,No,No,No,No,1.349481,103.74102
DAZHONG PRIMARY SCHOOL,35 BUKIT BATOK STREET 31,659441,BUKIT BATOK,WEST,WEST 4,PRIMARY,No,No,No,No,1.359,103.7485279
BEDOK GREEN PRIMARY SCHOOL,1 BEDOK SOUTH AVE 2,469317,BEDOK,EAST,EAST 2,PRIMARY,No,No,No,No,1.323989,103.937761
LIANHUA PRIMARY SCHOOL,2 BUKIT BATOK STREET 52,659243,BUKIT BATOK,WEST,WEST 4,PRIMARY,No,No,No,No,1.354143,103.754202
ZHONGHUA PRIMARY SCHOOL,12 SERANGOON AVENUE 4,556095,SERANGOON,SOUTH,SOUTH 6,PRIMARY,No,No,No,No,1.359895,103.869558
PEIYING PRIMARY SCHOOL,651 YISHUN RING ROAD,768687,YISHUN,NORTH,NORTH 6,PRIMARY,No,No,No,No,1.417009,103.830256
KEMING PRIMARY SCHOOL,90 BUKIT BATOK EAST AVENUE 6,659762,BUKIT BATOK,WEST,WEST 4,PRIMARY,No,No,No,No,1.344781,103.756511
CHANGKAT PRIMARY SCHOOL,11 SIMEI ST 3,529896,TAMPINES,EAST,EAST 4,PRIMARY,No,No,No,No,1.340164,103.951801
ZHENGHUA PRIMARY SCHOOL,9 FAJAR ROAD,679002,BUKIT PANJANG,WEST,WEST 5,PRIMARY,No,No,No,No,1.37957,103.769301
SOUTH VIEW PRIMARY SCHOOL,6 CHOA CHU KANG CENTRAL,689762,CHOA CHU KANG,WEST,WEST 2,PRIMARY,No,No,No,No,1.381324,103.747145
PASIR RIS PRIMARY SCHOOL,5 PASIR RIS STREET 21,518968,PASIR RIS,EAST,EAST 6,PRIMARY,No,No,No,No,1.372305,103.962479
CHUA CHU KANG PRIMARY SCHOOL,20 CHOA CHU KANG AVENUE 2,689905,CHOA CHU KANG,WEST,WEST 2,PRIMARY,No,No,No,No,1.378056,103.7417229
GREENRIDGE PRIMARY SCHOOL,11 JELAPANG ROAD,677744,BUKIT PANJANG,WEST,WEST 5,PRIMARY,No,No,No,No,1.385851,103.767546
FARRER PARK PRIMARY SCHOOL,2 FARRER PARK ROAD,217567,KALLANG,SOUTH,SOUTH 5,PRIMARY,No,No,No,No,1.312139,103.850992
BUKIT TIMAH PRIMARY SCHOOL,111 LORONG KISMIS,598112,BUKIT TIMAH,WEST,WEST 7,PRIMARY,No,No,No,No,1.337385,103.766768
LAKESIDE PRIMARY SCHOOL,161 CORPORATION WALK,618310,JURONG WEST,WEST,WEST 7,PRIMARY,No,No,No,No,1.338216,103.717603
BEACON PRIMARY SCHOOL,36 BUKIT PANJANG RING ROAD,679944,BUKIT PANJANG,WEST,WEST 5,PRIMARY,No,No,No,No,1.384235,103.77377
INNOVA PRIMARY SCHOOL,80 WOODLANDS DRIVE 17,737888,WOODLANDS,NORTH,NORTH 8,PRIMARY,No,No,No,No,1.428957,103.790631
GREENDALE PRIMARY SCHOOL,50 EDGEDALE PLAINS,828848,PUNGGOL,NORTH,NORTH 4,PRIMARY,No,No,No,No,1.396421,103.912588
ENDEAVOUR PRIMARY SCHOOL,10 ADMIRALTY LINK,757521,SEMBAWANG,NORTH,NORTH 8,PRIMARY,No,No,No,No,1.454201,103.817423
NORTH VISTA PRIMARY SCHOOL,20 COMPASSVALE LINK,544974,SENG KANG,NORTH,NORTH 1,PRIMARY,No,No,No,No,1.382913,103.89588
ANCHOR GREEN PRIMARY SCHOOL,31 ANCHORVALE DRIVE,544969,SENG KANG,NORTH,NORTH 3,PRIMARY,No,No,No,No,1.390652,103.887283
HORIZON PRIMARY SCHOOL,61 EDGEDALE PLAINS,828819,PUNGGOL,NORTH,NORTH 4,PRIMARY,No,No,No,No,1.400025,103.913058
CANTONMENT PRIMARY SCHOOL,1 CANTONMENT CLOSE,88256,BUKIT MERAH,SOUTH,SOUTH 4,PRIMARY,No,No,No,No,1.352083,103.819836
FRONTIER PRIMARY SCHOOL,20 JURONG WEST STREET 61,648200,JURONG WEST,WEST,WEST 3,PRIMARY,No,No,No,No,1.352083,103.819836
WESTWOOD PRIMARY SCHOOL,1 JURONG WEST STREET 73,649188,JURONG WEST,WEST,WEST 8,PRIMARY,No,No,No,No,1.352083,103.819836
PUNGGOL GREEN PRIMARY SCHOOL,98 PUNGGOL WALK,828772,PUNGGOL,EAST,EAST 1,PRIMARY,No,No,No,No,1.352083,103.819836
PUNGGOL VIEW PRIMARY SCHOOL,9 PUNGGOL PLACE,828845,PUNGGOL,EAST,EAST 1,PRIMARY,No,No,No,No,1.4052971,103.90518
SENGKANG GREEN PRIMARY SCHOOL,15 FERNVALE ROAD,797636,SENG KANG,EAST,EAST 3,PRIMARY,No,No,No,No,1.352083,103.819836
SPRINGDALE PRIMARY SCHOOL,71 ANCHORVALE LINK,544799,SENG KANG,EAST,EAST 3,PRIMARY,No,No,No,No,1.352083,103.819836
PALM VIEW PRIMARY SCHOOL,150 COMPASSVALE BOW,544822,SENG KANG,NORTH,NORTH 1,PRIMARY,No,No,No,No,1.352083,103.819836
RIVERSIDE PRIMARY SCHOOL,110 WOODLANDS CRESCENT,737803,WOODLANDS,NORTH,NORTH 7,PRIMARY,No,No,No,No,1.352083,103.819836
WEST SPRING PRIMARY SCHOOL,60 BUKIT PANJANG RING ROAD,679946,BUKIT PANJANG,WEST,WEST 6,PRIMARY,No,No,No,No,1.352083,103.819836
ALEXANDRA PRIMARY SCHOOL,2A PRINCE CHARLES CRESCENT,159016,BUKIT MERAH,SOUTH,SOUTH 4,PRIMARY,No,No,No,No,1.29273,103.8220886
NORTHOAKS PRIMARY SCHOOL,61 SEMBAWANG DRIVE,757622,SEMBAWANG,NORTH,NORTH 8,PRIMARY,No,No,No,No,1.456638,103.813826
ANGSANA PRIMARY SCHOOL,3 TAMPINES STREET 22,529366,TAMPINES,EAST,EAST 3,PRIMARY,No,No,No,No,1.348251,103.951859
PUNGGOL COVE PRIMARY SCHOOL,52 SUMANG WALK,828674,PUNGGOL,EAST,EAST 1,PRIMARY,No,No,No,No,1.352083,103.819836
OASIS PRIMARY SCHOOL,71 EDGEFIELD PLAINS,828716,PUNGGOL,EAST,EAST 6,PRIMARY,No,No,No,No,1.352083,103.819836
WATERWAY PRIMARY SCHOOL,70 PUNGGOL DRIVE,828802,PUNGGOL,EAST,EAST 6,PRIMARY,No,No,No,No,1.352083,103.819836
FERN GREEN PRIMARY SCHOOL,70 FERNVALE LINK,797538,SENG KANG,EAST,EAST 3,PRIMARY,No,No,No,No,1.3977267,103.8797996
FIRST TOA PAYOH PRIMARY SCHOOL,7 LORONG 8 TOA PAYOH,319252,TOA PAYOH,SOUTH,SOUTH 3,PRIMARY,No,No,No,No,1.340145,103.855651
NEW TOWN PRIMARY SCHOOL,300 TANGLIN HALT ROAD,148812,QUEENSTOWN,SOUTH,SOUTH 2,PRIMARY,No,No,No,No,1.299825,103.799953
BOON LAY GARDEN PRIMARY SCHOOL,20 BOON LAY DRIVE,649930,JURONG WEST,WEST,WEST 8,PRIMARY,No,No,No,No,1.34287,103.712983
MARSILING PRIMARY SCHOOL,31 WOODLANDS CENTRE ROAD,738927,WOODLANDS,NORTH,NORTH 5,PRIMARY,No,No,No,No,1.433827,103.773663
PEI TONG PRIMARY SCHOOL,15 CLEMENTI AVENUE 5,129857,CLEMENTI,SOUTH,SOUTH 2,PRIMARY,No,No,No,No,1.315889,103.767747
YUHUA PRIMARY SCHOOL,158 JURONG EAST STREET 24,609558,JURONG EAST,WEST,WEST 1,PRIMARY,No,No,No,No,1.343263,103.740763
FENGSHAN PRIMARY SCHOOL,307 BEDOK NORTH ROAD,469680,BEDOK,EAST,EAST 2,PRIMARY,No,No,No,No,1.329819,103.9319019
YU NENG PRIMARY SCHOOL,56 BEDOK NORTH ST 3,469623,BEDOK,EAST,EAST 2,PRIMARY,No,No,No,No,1.333929,103.932513
XINMIN PRIMARY SCHOOL,9 HOUGANG AVENUE 8,538784,HOUGANG,NORTH,NORTH 1,PRIMARY,No,No,No,No,1.371069,103.8830289
YANGZHENG PRIMARY SCHOOL,15 SERANGOON AVENUE 3,556108,SERANGOON,SOUTH,SOUTH 6,PRIMARY,No,No,No,No,1.348506,103.868407
JUYING PRIMARY SCHOOL,31 JURONG WEST STREET 91,649037,JURONG WEST,WEST,WEST 3,PRIMARY,No,No,No,No,1.33837,103.688061
JUNYUAN PRIMARY SCHOOL,2 TAMPINES STREET 91,528906,TAMPINES,EAST,EAST 2,PRIMARY,No,No,No,No,1.347973,103.940012
NORTHLAND PRIMARY SCHOOL,15 YISHUN AVENUE 4,769026,YISHUN,NORTH,NORTH 2,PRIMARY,No,No,No,No,1.420935,103.840768
NAVAL BASE PRIMARY SCHOOL,7 YISHUN AVE 4,769028,YISHUN,NORTH,NORTH 6,PRIMARY,No,No,No,No,1.416055,103.839091
XINGNAN PRIMARY SCHOOL,5 JURONG WEST STREET 91,649036,JURONG WEST,WEST,WEST 3,PRIMARY,No,No,No,No,1.342223,103.688066
QIHUA PRIMARY SCHOOL,5 WOODLANDS STREET 81,738525,WOODLANDS,NORTH,NORTH 5,PRIMARY,No,No,No,No,1.442105,103.788557
GUANGYANG PRIMARY SCHOOL,6 BISHAN STREET 12,579806,BISHAN,SOUTH,SOUTH 7,PRIMARY,No,No,No,No,1.346017,103.849681
TAMPINES NORTH PRIMARY SCHOOL,30 TAMPINES AVENUE 9,529565,TAMPINES,EAST,EAST 6,PRIMARY,No,No,No,No,1.360298,103.948581
ELIAS PARK PRIMARY SCHOOL,11 PASIR RIS STREET 52,518866,PASIR RIS,EAST,EAST 1,PRIMARY,No,No,No,No,1.374697,103.945633
AHMAD IBRAHIM PRIMARY SCHOOL,10 YISHUN STREET 11,768643,YISHUN,NORTH,NORTH 2,PRIMARY,No,No,No,No,1.433543,103.832949
NORTH VIEW PRIMARY SCHOOL,210 YISHUN AVENUE 6,768960,YISHUN,NORTH,NORTH 6,PRIMARY,No,No,No,No,1.427616,103.848313
PIONEER PRIMARY SCHOOL,23 JURONG WEST STREET 81,649076,JURONG WEST,WEST,WEST 3,PRIMARY,No,No,No,No,1.348486,103.694609
PUNGGOL PRIMARY SCHOOL,61 HOUGANG AVENUE 8,538787,HOUGANG,SOUTH,SOUTH 1,PRIMARY,No,No,No,No,1.37819,103.894746
PARK VIEW PRIMARY SCHOOL,60 PASIR RIS DRIVE 1,519524,PASIR RIS,EAST,EAST 6,PRIMARY,No,No,No,No,1.377331,103.939371
ADMIRALTY PRIMARY SCHOOL,11 WOODLANDS CIRCLE,738907,WOODLANDS,NORTH,NORTH 5,PRIMARY,No,No,No,No,1.442888,103.799693
KRANJI PRIMARY SCHOOL,11 CHOA CHU KANG STREET 54,689189,CHOA CHU KANG,WEST,WEST 8,PRIMARY,No,No,No,No,1.393694,103.7477849
SENG KANG PRIMARY SCHOOL,21 COMPASSVALE WALK,545166,SENG KANG,NORTH,NORTH 1,PRIMARY,No,No,No,No,1.3890411,103.8993117
WOODLANDS RING PRIMARY SCHOOL,11 WOODLANDS RING ROAD,738240,WOODLANDS,NORTH,NORTH 5,PRIMARY,No,No,No,No,1.434839,103.797928
WEST VIEW PRIMARY SCHOOL,31 SENJA ROAD,677742,BUKIT PANJANG,WEST,WEST 5,PRIMARY,No,No,No,No,1.383113,103.760229
WHITE SANDS PRIMARY SCHOOL,2 PASIR RIS ST 11,519075,PASIR RIS,EAST,EAST 6,PRIMARY,No,No,No,No,1.364903,103.961329
UNITY PRIMARY SCHOOL,21 CHOA CHU KANG CRESCENT,688268,CHOA CHU KANG,WEST,WEST 2,PRIMARY,No,No,No,No,1.403245,103.74729
CANBERRA PRIMARY SCHOOL,21 ADMIRALTY DRIVE,757714,SEMBAWANG,NORTH,NORTH 7,PRIMARY,No,No,No,No,1.450666,103.81587
RIVERVALE PRIMARY SCHOOL,80 RIVERVALE DRIVE,545092,SENG KANG,NORTH,NORTH 1,PRIMARY,No,No,No,No,1.393196,103.904383
JURONG WEST PRIMARY SCHOOL,30 JURONG WEST ST 61,648368,JURONG WEST,WEST,WEST 3,PRIMARY,No,No,No,No,1.339037,103.698854
EAST SPRING PRIMARY SCHOOL,31 TAMPINES ST 33,529258,TAMPINES,EAST,EAST 3,PRIMARY,No,No,No,No,1.35349,103.961799
EVERGREEN PRIMARY SCHOOL,31 WOODLANDS CIRCLE,738908,WOODLANDS,NORTH,NORTH 5,PRIMARY,No,No,No,No,1.444082,103.795038
COMPASSVALE PRIMARY SCHOOL,21 COMPASSVALE ST,545091,SENG KANG,NORTH,NORTH 3,PRIMARY,No,No,No,No,1.39418,103.897901
WOODGROVE PRIMARY SCHOOL,2 WOODLANDS DRIVE 14,738079,WOODLANDS,NORTH,NORTH 5,PRIMARY,No,No,No,No,1.4332339,103.790306
SEMBAWANG PRIMARY SCHOOL,10 SEMBAWANG DRIVE,757715,SEMBAWANG,NORTH,NORTH 8,PRIMARY,No,No,No,No,1.44497,103.820734
CONCORD PRIMARY SCHOOL,3 CHOA CHU KANG AVE 4,689814,CHOA CHU KANG,WEST,WEST 2,PRIMARY,No,No,No,No,1.380026,103.73625
NORTH SPRING PRIMARY SCHOOL,1 RIVERVALE STREET,545088,SENG KANG,NORTH,NORTH 4,PRIMARY,No,No,No,No,1.386881,103.903609
YEW TEE PRIMARY SCHOOL,10 CHOA CHU KANG ST 64,689100,CHOA CHU KANG,WEST,WEST 8,PRIMARY,No,No,No,No,1.396985,103.751221
HOUGANG PRIMARY SCHOOL,1 HOUGANG ST 93,534238,HOUGANG,NORTH,NORTH 3,PRIMARY,No,No,No,No,1.37734,103.881046
MERIDIAN PRIMARY SCHOOL,20 PASIR RIS ST 71,518798,PASIR RIS,EAST,EAST 1,PRIMARY,No,No,No,No,1.375781,103.935197
GREENWOOD PRIMARY SCHOOL,11 WOODLANDS  DR  62,737942,WOODLANDS,NORTH,NORTH 8,PRIMARY,No,No,No,No,1.43985,103.804609
ANDERSON PRIMARY SCHOOL,19 ANG MO KIO AVE 9,569785,ANG MO KIO,NORTH,NORTH 6,PRIMARY,No,No,No,No,1.384692,103.841225
WELLINGTON PRIMARY SCHOOL,10 WELLINGTON CIRCLE,757702,SEMBAWANG,NORTH,NORTH 7,PRIMARY,No,No,No,No,1.452297,103.8219
EDGEFIELD PRIMARY SCHOOL,41 EDGEFIELD PLAINS,828869,PUNGGOL,NORTH,NORTH 3,PRIMARY,No,No,No,No,1.399887,103.907469
WEST GROVE PRIMARY SCHOOL,1 JURONG WEST ST 72,649223,JURONG WEST,WEST,WEST 3,PRIMARY,No,No,No,No,1.34455,103.698987
CASUARINA PRIMARY SCHOOL,30 PASIR RIS ST 41,518935,PASIR RIS,EAST,EAST 6,PRIMARY,No,No,No,No,1.3724209,103.957724
CLEMENTI PRIMARY SCHOOL,8 CLEMENTI AVE 3,129903,CLEMENTI,WEST,WEST 1,PRIMARY,No,No,No,No,1.315403,103.763253
TANJONG KATONG PRIMARY SCHOOL,860 NEW UPPER CHANGI ROAD,467353,MARINE PARADE,EAST,EAST 5,PRIMARY,No,No,No,No,1.32368,103.938907
ANDERSON SECONDARY SCHOOL,10 ANG MO KIO STREET 53,569206,ANG MO KIO,NORTH,NORTH 3,SECONDARY,No,Yes,No,No,1.374262,103.851456
BARTLEY SECONDARY SCHOOL,10 JALAN BUNGA RAMPAI,538403,TOA PAYOH,SOUTH,SOUTH 6,SECONDARY,No,No,No,No,1.340275,103.882831
BEATTY SECONDARY SCHOOL,1 TOA PAYOH NORTH,318990,TOA PAYOH,SOUTH,SOUTH 3,SECONDARY,No,No,No,No,1.34154,103.851956
CEDAR GIRLS' SECONDARY SCHOOL,1 CEDAR AVENUE,349692,TOA PAYOH,EAST,EAST 7,SECONDARY,No,Yes,No,Yes,1.333751,103.874242
CRESCENT GIRLS' SCHOOL,357 TANGLIN ROAD,247961,BUKIT MERAH,SOUTH,SOUTH 2,SECONDARY,No,Yes,No,No,1.293338,103.817566
GAN ENG SENG SCHOOL,1 HENDERSON ROAD,159561,BUKIT MERAH,SOUTH,SOUTH 4,SECONDARY,No,No,No,No,1.289088,103.823727
QUEENSWAY SECONDARY SCHOOL,2A MARGARET DRIVE,149295,QUEENSTOWN,SOUTH,SOUTH 2,SECONDARY,No,No,No,No,1.300681,103.801857
RAFFLES GIRLS' SCHOOL (SECONDARY),20 ANDERSON ROAD,259978,CENTRAL,SOUTH,SOUTH 7,SECONDARY,No,No,Yes,Yes,1.31172,103.828974
RAFFLES INSTITUTION,1 RAFFLES INSTITUTION LANE,575954,BISHAN,SOUTH,SOUTH 7,MIXED LEVEL,No,No,Yes,Yes,1.345712,103.845871
SERANGOON SECONDARY SCHOOL,11 UPPER SERANGOON VIEW,534237,HOUGANG,NORTH,NORTH 3,SECONDARY,No,No,No,No,1.3744939,103.9024166
COMMONWEALTH SECONDARY SCHOOL,698 WEST COAST ROAD,608784,JURONG EAST,WEST,WEST 7,SECONDARY,No,Yes,No,No,1.3192,103.745652
TANJONG KATONG GIRLS' SCHOOL,2 BEDOK SOUTH ROAD,469268,MARINE PARADE,EAST,EAST 5,SECONDARY,No,Yes,No,No,1.32223,103.92679
VICTORIA SCHOOL,2 SIGLAP LINK,448880,BEDOK,EAST,EAST 7,SECONDARY,No,Yes,Yes,Yes,1.308378,103.927638
WHITLEY SECONDARY SCHOOL,30 BISHAN STREET 24,579747,BISHAN,SOUTH,SOUTH 7,SECONDARY,No,No,No,No,1.355497,103.843265
YUHUA SECONDARY SCHOOL,35 JURONG WEST STREET 41,649406,JURONG WEST,WEST,WEST 7,SECONDARY,No,No,No,No,1.347026,103.722405
YISHUN SECONDARY SCHOOL,4 YISHUN STREET 71,768516,YISHUN,NORTH,NORTH 2,SECONDARY,No,No,No,No,1.428129,103.828833
BENDEMEER SECONDARY SCHOOL,1 ST WILFRED ROAD,327919,KALLANG,SOUTH,SOUTH 5,SECONDARY,No,No,No,No,1.32432,103.861002
FUCHUN SECONDARY SCHOOL,21 WOODLANDS AVENUE 1,739062,WOODLANDS,NORTH,NORTH 7,SECONDARY,No,No,No,No,1.430948,103.777326
ANG MO KIO SECONDARY SCHOOL,6 ANG MO KIO STREET 22,569362,ANG MO KIO,SOUTH,SOUTH 1,SECONDARY,No,No,No,No,1.367353,103.8426
BEDOK SOUTH SECONDARY SCHOOL,1 JALAN LANGGAR BEDOK,468585,BEDOK,EAST,EAST 2,SECONDARY,No,No,No,No,1.3248089,103.950977
CLEMENTI TOWN SECONDARY SCHOOL,10 CLEMENTI AVE 3,129904,CLEMENTI,WEST,WEST 1,SECONDARY,No,No,No,No,1.315501,103.762094
TEMASEK SECONDARY SCHOOL,600 UPPER EAST COAST ROAD,465561,BEDOK,EAST,EAST 2,SECONDARY,No,Yes,No,No,1.3157589,103.9471669
MAYFLOWER SECONDARY SCHOOL,2 ANG MO KIO STREET 21,569384,ANG MO KIO,SOUTH,SOUTH 1,SECONDARY,No,No,No,No,1.368331,103.835438
TAMPINES SECONDARY SCHOOL,252 TAMPINES ST 12,529427,TAMPINES,EAST,EAST 6,SECONDARY,No,No,No,No,1.34871,103.944486
BUKIT VIEW SECONDARY SCHOOL,16 BUKIT BATOK STREET 21,659633,BUKIT BATOK,WEST,WEST 4,SECONDARY,No,No,No,No,1.34572,103.752298
WOODLANDS SECONDARY SCHOOL,11 MARSILING ROAD,739111,WOODLANDS,NORTH,NORTH 5,SECONDARY,No,No,No,No,1.439565,103.774208
BOWEN SECONDARY SCHOOL,2 LORONG NAPIRI,547529,HOUGANG,NORTH,NORTH 1,SECONDARY,No,No,No,No,1.370117,103.877649
BUKIT BATOK SECONDARY SCHOOL,50 BUKIT BATOK WEST AVE 8,658962,BUKIT BATOK,WEST,WEST 7,SECONDARY,No,No,No,No,1.348506,103.740867
YISHUN TOWN SECONDARY SCHOOL,6 YISHUN STREET 21,768610,YISHUN,NORTH,NORTH 2,SECONDARY,No,Yes,No,No,1.43231,103.837858
HOUGANG SECONDARY SCHOOL,2 HOUGANG STREET 93,534256,HOUGANG,NORTH,NORTH 3,SECONDARY,No,No,No,No,1.377661,103.88253
NAN HUA HIGH SCHOOL,41 CLEMENTI AVENUE 1,129956,CLEMENTI,WEST,WEST 1,SECONDARY,Yes,Yes,No,No,1.30807,103.769189
HILLGROVE SECONDARY SCHOOL,10 BUKIT BATOK STREET 52,659250,BUKIT BATOK,WEST,WEST 2,SECONDARY,No,No,No,No,1.352752,103.753048
XINMIN SECONDARY SCHOOL,11 HOUGANG AVENUE 8,538789,HOUGANG,NORTH,NORTH 1,SECONDARY,No,Yes,No,No,1.372635,103.883077
GREENRIDGE SECONDARY SCHOOL,32 BUKIT PANJANG RING ROAD,679938,BUKIT PANJANG,WEST,WEST 5,SECONDARY,No,No,No,No,1.38206,103.773836
SPRINGFIELD SECONDARY SCHOOL,30 TAMPINES AVENUE 8,529593,TAMPINES,EAST,EAST 3,SECONDARY,No,No,No,No,1.349409,103.929982
CHUA CHU KANG SECONDARY SCHOOL,3 TECK WHYE CRESCENT,688845,CHOA CHU KANG,WEST,WEST 5,SECONDARY,No,No,No,No,1.383169,103.7515839
DAMAI SECONDARY SCHOOL,4800 BEDOK RESERVOIR ROAD,479229,BEDOK,EAST,EAST 4,SECONDARY,No,No,No,No,1.336405,103.927061
NORTHLAND SECONDARY SCHOOL,3 YISHUN STREET 22,768578,YISHUN,NORTH,NORTH 2,SECONDARY,No,No,No,No,1.435827,103.840098
PEIRCE SECONDARY SCHOOL,10 SIN MING WALK,575566,BISHAN,SOUTH,SOUTH 7,SECONDARY,No,No,No,No,1.36613,103.829903
JURONGVILLE SECONDARY SCHOOL,202 JURONG EAST AVENUE 1,609790,JURONG EAST,WEST,WEST 4,SECONDARY,No,No,No,No,1.351493,103.729161
FAJAR SECONDARY SCHOOL,31 GANGSA ROAD,678972,BUKIT PANJANG,WEST,WEST 8,SECONDARY,No,No,No,No,1.375887,103.764493
KRANJI SECONDARY SCHOOL,38 TECK WHYE CRESCENT,688945,CHOA CHU KANG,WEST,WEST 8,SECONDARY,No,No,No,No,1.381679,103.756524
JUYING SECONDARY SCHOOL,33 JURONG WEST STREET 91,649038,JURONG WEST,WEST,WEST 3,SECONDARY,No,No,No,No,1.338205,103.687205
WEST SPRING SECONDARY SCHOOL,61 SENJA  ROAD,677737,BUKIT PANJANG,WEST,WEST 5,SECONDARY,No,No,No,No,1.387707,103.760018
JURONG WEST SECONDARY SCHOOL,61 JURONG WEST STREET 65,648348,JURONG WEST,WEST,WEST 3,SECONDARY,No,No,No,No,1.335276,103.702086
BEDOK GREEN SECONDARY SCHOOL,360 BEDOK NORTH AVE 3,469722,BEDOK,EAST,EAST 2,SECONDARY,No,No,No,No,1.333844,103.935512
PUNGGOL SECONDARY SCHOOL,51 EDGEFIELD PLAINS,828870,PUNGGOL,NORTH,NORTH 4,SECONDARY,No,No,No,No,1.402069,103.909443
NORTH VISTA SECONDARY SCHOOL,11 RIVERVALE LINK,545081,SENG KANG,NORTH,NORTH 1,SECONDARY,No,No,No,No,1.381017,103.899463
ADMIRALTY SECONDARY SCHOOL,31 WOODLANDS CRESCENT,737916,WOODLANDS,NORTH,NORTH 7,SECONDARY,No,No,No,No,1.445881,103.802398
PEI HWA SECONDARY SCHOOL,21 FERNVALE LINK,797702,SENG KANG,NORTH,NORTH 3,SECONDARY,No,No,No,No,1.390273,103.878474
GREENDALE SECONDARY SCHOOL,51 EDGEDALE PLAINS,828866,PUNGGOL,NORTH,NORTH 4,SECONDARY,No,No,No,No,1.396986,103.9117179
EDGEFIELD SECONDARY SCHOOL,36 PUNGGOL FIELD,828814,PUNGGOL,NORTH,NORTH 3,SECONDARY,No,No,No,No,1.399882,103.902302
MERIDIAN SECONDARY SCHOOL,31 PASIR RIS STREET 51,518901,PASIR RIS,EAST,EAST 1,SECONDARY,No,No,No,No,1.3671009,103.949261
LOYANG VIEW SECONDARY SCHOOL,12 PASIR RIS STREET 11,519073,PASIR RIS,EAST,EAST 1,SECONDARY,No,No,No,No,1.366972,103.956826
DUNMAN HIGH SCHOOL,10 TANJONG RHU ROAD,436895,KALLANG,EAST,EAST 4,MIXED LEVEL,Yes,Yes,Yes,Yes,1.29836,103.882979
RIVER VALLEY HIGH SCHOOL,6 BOON LAY AVENUE,649961,JURONG WEST,WEST,WEST 7,MIXED LEVEL,Yes,Yes,No,Yes,1.343172,103.70949
AHMAD IBRAHIM SECONDARY SCHOOL,751 YISHUN AVENUE 7,768928,YISHUN,NORTH,NORTH 8,SECONDARY,No,No,No,No,1.436663,103.829889
BROADRICK SECONDARY SCHOOL,61 DAKOTA CRESCENT,399935,GEYLANG,EAST,EAST 5,SECONDARY,No,No,No,No,1.307522,103.886698
BUKIT MERAH SECONDARY SCHOOL,10 LENGKOK BAHRU,159050,BUKIT MERAH,SOUTH,SOUTH 2,SECONDARY,No,No,No,No,1.285583,103.81344
BUKIT PANJANG GOVT. HIGH SCHOOL,7 CHOA CHU KANG AVE 4,689809,CHOA CHU KANG,WEST,WEST 5,SECONDARY,No,Yes,No,No,1.38166,103.738424
DUNMAN SECONDARY SCHOOL,21 TAMPINES STREET 45,529093,TAMPINES,EAST,EAST 3,SECONDARY,No,Yes,No,No,1.360673,103.956206
JURONG SECONDARY SCHOOL,31 YUAN CHING ROAD,618652,JURONG WEST,WEST,WEST 4,SECONDARY,No,No,No,No,1.330365,103.724282
NAVAL BASE SECONDARY SCHOOL,901 YISHUN RING ROAD,768689,YISHUN,NORTH,NORTH 2,SECONDARY,No,No,No,No,1.41924,103.8310319
OUTRAM SECONDARY SCHOOL,3 YORK HILL,168622,CENTRAL,SOUTH,SOUTH 4,SECONDARY,No,No,No,No,1.286507,103.837091
YIO CHU KANG SECONDARY SCHOOL,3063 ANG MO KIO AVENUE 5,569868,ANG MO KIO,NORTH,NORTH 6,SECONDARY,No,No,No,No,1.377635,103.842103
